说明：题型编号，数据结构用J表示，数据库原理用K表示，网络用W表示，软件工程用R表示，操作系统用Z表示，应用基础用C表示，多媒体技术用D表示，硬件部分用Y表示，移动互联应用用H表示，S表示数据表示和计算，L表示离散数学，Q表示软件知识产权；C语言用1表示，C++语言用2表示，Java语言用3表示，JavaScript用4表示，C#用5表示；难度用0和1表示，0表示简单，1表示困难。,,,,,,,,
题号,题型,题目,A,B,C,D,答案,难度
397,C,"在WINDOWS 环境中，选择了“我的电脑”或“资源管理器”窗口中若干文件夹或文件以后, 下列操作中, 不能删除这些文件夹或文件的是(      )",用鼠标左键双击该文件夹或文件,按键盘上的“Delete”键,用鼠标左键单击“文件”菜单中相应的命令项,"用鼠标右键单击该文件夹或文件, 弹出一个快捷菜单, 再用左键单击其中相应的命令项",A,1
398,C,"在WINDOWS 环境中，要改变“我的电脑”或“资源管理器”窗口中一个文件夹或文件的名称, 可以采用的方法是, 先选取该文件夹或文件, 再用鼠标左键(      )",单击该文件夹或文件的名称,单击该文件夹或文件的图标,双击该文件夹或文件的名称,双击该文件夹或文件的图标,A,1
399,C,在WINDOWS 环境中，以下不是鼠标器的基本操作方式是(      ),单击,拖放,连续交替按下左右键,双击,C,0
400,C,"在WINDOWS 环境中，用户打算把文档中已经选取的一段内容移动到其他位置上, 应当先执行“编辑”菜单里的(      )命令。",复制,剪切,粘贴,清除,B,1
401,C,在WINDOWS 环境中，用鼠标左键单击“任务栏”中的一个按钮，将(      ),使一个应用程序处于“前台执行”状态,使一个应用程序开始执行,使一个应用程序结束运行,删除一个应用程序的图标,A,0
402,C,"在WINDOWS 环境中，在“我的电脑”或“资源管理器”窗口中, 使用(      )可以按名称、类型、大小、日期排列右区的内容。",“编辑”菜单,“查看”菜单,“文件”菜单,快捷菜单,B,1
403,C,"在WINDOWS 环境中，展开“文件”下拉菜单, 在其中的“打开” 命令项的右面括弧中有一个带下划线的字母０ , 此时要想执行“打开”操作, 可以在键盘上按(      )",０键,Ctrl+０键,Alt+０键,Shift+０键,A,0
404,C,"在WINDOWS 环境中，执行“系统”菜单里的“运行”命令, 并在其对话框内指定了一个文档的路径和名称( 而不是指定一个程序的名称),将(      )。",显示出错信息,运行相关的应用程序并打开该文档,显示该文档的位置(路径),显示该文档的内容,B,1
405,C,"在Windows 中, 利用“回收站”,(      )","只能恢复刚刚被删除的文件, 文件夹",可以在任何时候恢复以前被删除的所有文件、文件夹,只能在一定时间范围内恢复被删除的硬盘上的文件、文件夹,可以在任何时间范围内恢复被删除磁盘上的文件、文件夹,C,1
406,C,"在Windows 中, 所述的文档文件是(      )。",只包括文本文件,只包括Word文档,包括文本文件和图形文件,包括文本文件、图形文件和声音文件等,D,0
407,C,在WINDOWS 中，一个文件的绝对路径名为: C:\93.txt，其中93.txt是一个(      ),文件夹,根文件夹,文件,文本文件,D,0
408,C,"在Windows 桌面上, 不能启用“资源管理器” 的操作是(      )","用鼠标右键单击“开始”按钮, 随后在其弹出的菜单中用鼠标左键单击“资源管理器”项","用鼠标左键单击“开始”按钮, 在弹出的“系统菜单”的“程序”子菜单里单击“资源管理器”项","用鼠标右键单击“我的电脑”图标, 随后在其弹出的菜单中用鼠标左键单击“资源管理器”项",在“我的电脑”窗口中双击“资源管理器”,D,1
409,C,在WINDOWS 桌面上，通常情况下，不能启用“我的电脑”的操作是(      ),单击“我的电脑”图标,双击“我的电脑”图标,用鼠标右键单击“我的电脑”图标，随后在其单弹出的菜单中选择“打开”,在“资源管理器”中双击“我的电脑”,A,1
410,C,"在WINDOWS“资源管理器”的窗口中, 要想显示隐含文件, 可以利用(      )菜单来进行设置。",查看,视图,工具,编辑,A,1
411,C,"在Windows的“桌面”上, 用鼠标单击左下角的“开始”按钮, 将(      )",打开资源管理器,"执行一个程序, 程序名称在弹出的对话框中指定",打开一个窗口,弹出Windows的开始菜单,D,1
412,C,"在Windows的“资源管理器”或“我的电脑” 窗口中对文件、文件夹进行复制操作, 当选择了操作对象之后, 应当在常用工具栏中选择(      )按钮;然后选择复制目的磁盘或文件夹,再选择常用工具栏中的粘贴按钮。",剪切,复制,粘贴,打开,B,1
413,C,在Windows的资源管理器中，删除软磁盘中的文件的操作是将文件（     ）。,放入回收站 ,暂时保存到硬盘中,从软盘中清除  ,改名后保存在软盘中,C,0
414,C,在WINDOWS环境下的下拉菜单里，有一类操作命令项，若被选中执行时会弹出子菜单，这类命令项的显示特点是(      ),命令项的右面有一实心三角,命令项的右面有省略号(...),命令项本身以浅恢色显示,命令项位于一条横线以上,A,1
415,C,"在Windows环境中, 屏幕上可以同时打开若干个窗口, 但是其中只能有一个是当前活动窗口。指定当前活动窗口最简单的方法是(      )","把其他窗口都关闭, 只留下一个窗口, 即成为当前活动窗口","把其他窗口都最小化, 只留下一个窗口, 即成为当前活动窗口",用鼠标在该窗口内任意位置上双击,用鼠标在该窗口内任意位置上单击,D,1
416,C,"在WINDOWS环境中， 用键盘打开系统“开始”菜单, 需要(      )",同时按下Ctrl和ESC 键,同时按下Ctrl和Z 键,同时按下Ctrl和空格键,同时按下Ctrl和Shift 键,A,1
417,C,"在Windows环境中,(      )",不能再进DOS方式工作,"能再进入DOS方式工作, 并能再返回Windows 方式","能再进入DOS 方式工作, 但不能再返回Windows方式","能再进入DOS 方式工作, 但必须先退出Windows才行",B,1
418,C,"在WINDOWS环境中，当不小心对文件或文件夹的操作发生错误时, 可以利用“编辑”菜单中的(      )命令, 取消原来的操作。",剪切,粘贴,复制,撤消,D,1
419,C,"在WINDOWS环境中，对文档实行修改后, 既要保存修改后的内容, 又不能改变原文档的内容, 此时可以使用“文件” 菜单中的(      )命令。",属性,保存,另存为,打开,C,1
420,C,在WINDOWS环境中，每个窗口的“标题栏” 的右边都有一个标有短横线的方块，用鼠标单击它可以(      ),关闭该窗口,打开该窗口,把该窗口最小化,把该窗口放大,C,1
421,C,在WINDOWS环境中，任何一个最小化后放在“任务栏”中的图标按钮都代表着(      ),一个可执行程序,一个正在后台执行的程序,一个在前台工作的程序,一个不工作的程序窗口,B,0
422,C,在WINDOWS环境中，显示器的整个屏幕称为(      ),窗口,桌面,图标,资源管理器,B,0
423,C,在WINDOWS环境中，用鼠标双击一个窗口左上角的“控制菜单按钮”，可以(      ),放大窗口,关闭该窗口,缩小该窗口,移动该窗口,B,1
424,C,在Windows系统中，单击最小化按钮，可以使窗口缩小成图标，并排列在（     ）。,快捷栏内     ,桌面的右边,开始菜单内    ,桌面的任务栏内,D,0
425,C,在Windows系统中同时按下Ctrl + Alt + Del三键并松开（     ）。,可以保存当前编辑的文本  ,可以开始打印,可进入任务管理器   ,可以进入绘图状态,C,0
426,C,"在Windows中, 安装一个应用程序，通常要求采用的方法是(      )",用鼠标单击“系统菜单”中的“文档”项,把应用程序从软盘或CD-ROM光盘上直接复制到硬盘上,在“控制面板”窗口内用鼠标双击“添加/删除程序”图标,在“控制面板”窗口内用鼠标单击“添加/删除程序”图标,C,1
427,C,在Windows中，单击（     ）按钮，可以使窗口缩小成图标，位于任务栏内。,还原 ,关闭,最大化  ,最小化,D,0
428,C,在Windows中，如果想同时改变窗口的高度或宽度，可以通过拖放（     ）来实现。,窗口边框,窗口角 , 滚动条 ,菜单栏,B,0
429,C,在WINDOWS中，鼠标左键和右键的功能(      )。,固定不变,　　通过对“控制面板”操作来改变,通过对“资源管理器”操作来改变,通过对“附件”操作来改变,B,1
430,C,"在Windows中，为了查找文件名以""A""字母打头，后跟一字母的所有文件，应当在查找名称框内输入（     ）。",A,A* ,A？,A#,C,1
431,C,"在Windows中，为了查找文件名以""A""字母打头的所有文件，应当在查找名称框内输入（     ）。",A,A* ,A？,A#,B,1
432,C,在Windows中，允许用户在计算机系统中配置的打印机为(      )　,只能是一台任意型号的打印机,多台打印机,只能是一台激光打印机或一台喷墨打印机,一台针式打印机,B,1
433,C,在WINDOWS中，在通常情况下， 单击对话框中的“确定”按钮与按(      )键的作用是一样的。,Ese,Enter,F1,F2,B,1
434,C,在Windows中“画图”程序所建立的文件扩展名不可以是(      ),.bmp,.doc,.gif,.jpg,B,1
435,C,在Windows中单击(      )按钮或图标，几乎包括了Windows中的所有功能。,“我的文档”,“我的公文包”,“开始”,“资源管理器”,C,1
436,C,在Windows中进行文本输入时，全角/半角切换可用(      )。, Ctrl+Shift,Ctrl+空格键,Shift+空格键,　 均不对,C,1
437,C,在Windows中进行文本输入时，系统默认中英文切换方式可用(      ), Ctrl+Shift,Ctrl+空格键,Shift+空格键,均不对,B,1
438,C,在Windows桌面的任务栏中，代表当前正在进行操作窗口的图标（     ）。,变黑  ,加亮显示,反像显示    ,消失,B,0
439,C,在Word中，为打开两个非连续的文件，在打开对话框中，其选择方式是(      ),单击第一个文件，Shift+单击第二个文件,单击第一个文件，Ctrl+单击第二个文件,双击第一个文件，Shift+双击第二个文件,单击第一个文件，Ctrl+双击第二个文件,B,1
440,C,在word中，选择“文件”菜单下的“另存为”命令，可以将当前打开的文档另存为的文档类型是（     ）。,.txt ,.ppt,.xls  ,.bat ,A,1
441,C,在word2010编辑器状态下，若要进行选定文本行间距的设置，应该选择的操作是（     ）。,单击“编辑”｜“格式”,单击“开始”｜“段落”,单击“编辑”｜“段落”,单击“开始”｜“字体”,B,1
442,C,在WORD编辑状态下，格式刷可以复制（     ）。,段落的格式和内容,段落和文字的格式,文字的格式和内容,段落和文字的格式和内容,B,1
443,C,在word2010编辑状态下，绘制一个文本框，要使用的菜单是（     ）。,插入,表格,编辑,工具,A,0
444,C,在word编辑状态下制表时，若插入点位于表格外右侧的行尾处，按回车键，结果是（     ）。,光标移到下一列,光标移到下一行，表格行数不变,插入一行，表格行数改变,在本单元格内换行，表格行数不变,C,1
445,C,在Word 的编辑状态，连续进行了两次“插入”操作，当单击一次“撤消”按钮后（     ）。,将两次插入的内容全部取消,将第一次插入的内容取消,将第二次插入的内容取消,两次插入的内容都不取消,C,0
446,C,在Word 的编辑状态，设置了标尺，可以同时显示水平标尺和垂直标尺的视图方式是（     ）。,普通方式,页面方式,大纲方式,全屏显示方式,B,0
447,C,在Word 中，与打印输出有关的命令可以在（     ）菜单中找到。,编辑,格式,文件,工具,C,0
448,C,在WORD中选定一个句子的方法是（     ）。,单击该句中的任意位置,双击该句中任意的位置,按住CTRL同时单击句中任意位置,按住CTRL同时双击名中任意位置,C,0
449,C,在Word 主窗口的右上角，可以同时显示的按钮是（     ）,最小化、还原和最大化,还原、最大化和关闭,最小化、还原和关闭,还原和最大化,C,1
450,C,在Word2010编辑状态，包括能设定文档行间距命令的菜单是(      ),"""文件""菜单","""窗口""菜单","""开始""菜单","""工具""菜单",C,1
451,C,"在Word2010编辑状态，进行""打印""操作，应当使用的菜单是(      )","""编辑""菜单","""文件""菜单","""视图""菜单","""工具""菜单",B,1
452,C,在Word编辑状态，可以使插入点快速移到文档首部的组合键是(      ),Ctrl+Home,Alt+Home,Home,PageUp,A,1
453,C,在Word编辑状态，先后打开了d1.doc文档和d2.doc文档，则(      ),可以使两个文档的窗口都显现出来,只能显现d2.doc文档的窗口,只能显现d1.doc文档的窗口,打开d2.doc后两个窗口自动并列显示,A,1
454,C,"在Word编辑状态，执行两次""复制""操作后，则剪贴板中(      )",仅有第一次被复制的内容,仅有第二次被复制的内容,有两次被复制的内容,无内容,C,1
455,C,"在WORD编辑状态，执行两次""剪切""操作，则剪贴板中(      )",仅有第一次被剪切的内容,仅有第二次被剪切的内容,有两次被剪切的内容,无内容,C,1
456,C,在word2010编辑状态下，不用“打开”文件对话框就能直接打开最的使用过的文档的方档的方法是（     ）,快捷键CTRL＋O　,工具栏上“打开”按钮,选择“文件”菜单中的“最近所用文件”,选择“文件”菜单中的“打开”命令,C,1
457,C,在Word 2010编辑状态下，若要进行选定文本行间距的设置，应该选择的操作是(      )。,单击“编辑” →  “格式”,单击“开始” → “段落”,单击“格式” → “段落”,单击“格式” →  “字体”,B,1
458,C,在Word编辑状态下，使用超级链接可以使用(      )。,工具菜单中的命令,编辑菜单中的命令, 格式菜单中的命令,插入菜单中的命令,D,0
459,C,在WORD表格编辑中，不能进行的操作是（     ）。,删除单元格,旋转单元格,插入单元格,合并单元格,B,0
460,C,在Word2010窗口中，插入分节符或分页符，可以通过（     ）菜单进行操作。,格式→段落→分隔符 ,格式→制表位→分隔符  ,页面布局→页面设置→分隔符 ,工具→选项→分隔符,C,0
461,C,在WORD的编辑状态，按先后顺序依次打开了d1.doc、d2.doc、d3.doc、d4.doc四个文档，当前的活动窗口是哪个文档的窗口(      ),d1.doc的窗口,d2.doc的窗口,d3.doc的窗口,d4.doc的窗口,D,1
462,C,"在WORD的编辑状态，打开了""w1.doc""文档，把当前文档以""w2.doc""为名进行""另存为""操作，则(      )",当前文档是w1.doc,当前文档是w2.doc,当前文档是w1.doc与w2.doc,w1.doc与w2.doc全被关闭,B,1
463,C,"在Word的编辑状态，打开了一个文档，进行""保存""操作后，该文档(      )",被保存在原文件夹下,可以保存在已有的其他文件夹下,可以保存在新建文件夹下,保存后文档被关闭,A,1
464,C,"在Word的编辑状态,当前编辑的文档是C盘中的d1.doc文档,要将该文档拷贝到软盘,应当使用(      )","""文件""菜单中的""另存为""命令","""文件""菜单中的""保存""命令","""文件""菜单中的""新建""命令","""插入""菜单中的命令",A,1
465,C,"在Word的编辑状态,当前编辑文档中的字体全是宋体字,选择了一段文字使之成反显状,先设定了楷体,又设定了仿宋体,则(      )",文档全文都是楷体,被选择的内容仍为宋体,被选择的内容变为仿宋体,文档的全部文字的字体不变,C,1
466,C,在Word的编辑状态，进行字体设置操作后，按新设置的字体显示的文字是（     ）。,插入点所在段落后的文字,文档中被选定的文字,插入点所在行中的文字,文档的全部文字,B,1
467,C,在WORD的编辑状态，选定单元格后会增加(      )菜单。,"""表格工具""菜单","""引用""菜单","""视图""菜单","""插入""菜单",A,1
468,C,"在word的编辑状态，连续进行了两次""插入""操作，当单击一次""撤消""按钮后(      )",将两次插入的内容全部取消,将第一次插入的内容全部取消,将第二次插入的内容全部取消,两次插入的内容都不被取消,C,1
469,C,"在word的编辑状态，设置了一个由多个行和列组成的空表格，将插入点定在某个单元格内，用鼠标单击""表格工具""菜单中的""选定行""命令，再用鼠标单击""表格工具""菜单中的""选定列""命令，则表格中被""选择""的部分是(      )。",插入点所在的行,插入点所在的列,一个单元格,整个表格,D,1
470,C,"在Word的编辑状态，文档窗口显示出水平标尺，拖动水平标尺上沿的""首行缩进""滑块，则(      )",文档中各段落的首行起始位置都重新确定,文档中被选择的各段落首行起始位置都重新确定,文档中各行的起始位置都重新确定,插入点所在行的起始位置被重新确定,B,1
471,C,"在WORD的编辑状态，选择了文档全文，若在""段落""对话框中设置行距为20磅的格式，应当选择""行距""列表框中的(      )",单倍行距,1.5倍行距,固定值,多倍行距,C,1
472,C,"在WORD的编辑状态，选择了一个段落并设置段落的""首行缩进""设置为1厘米，则(      )",该段落的首行起始位置距页面的左边距1厘米,"文档中各段落的首行只由""首行缩进""确定位置","该段落的首行起始位置距段落的""左缩进""位置的右边1厘米","该段落的首行起始位置在段落""左缩进""位置的左边1厘米",C,1
473,C,"在Word的编辑状态,选择了整个表格,执行了“表格工具”菜单中的""删除行""命令,则(      )",整个表格被删除,表格中一行被删除,表格中一列被删除,表格中没有被删除的内容,A,1
474,C,"在Word的编辑状态,要模拟显示打印效果,应当单击(      )",“开始”菜单中“打印”选项,“文件”菜单中“打印”选项,“文件”菜单中“打印预览”选项,“开始”菜单中“打印预览”选项,B,1
475,C,"在word的编辑状态，执行""粘贴""命令后(      )",被选择的内容移到插入点处,被选择的内容移到剪贴板处,剪贴板中的内容移到插入点处,剪贴板中的内容复制到插入点处,D,1
476,C,在Word的编辑状态，执行“文件”菜单中的“保存”命令后（     ）。,将所有打开的文档存盘 ,只能将当前文档存储在原文件夹内,可以将当前文档存储在原文件夹内,可以先建立一个新文件夹，再将文档存储在该文件夹内,B,1
477,C,"在Word的编辑状态，执行编辑菜单中""复制""命令后(      )",被选择的内容被复制到插入点处,被选择的内容被复制到剪贴板,插入点所在的段落内容被复制到剪贴板,光标所在的段落内容被复制到剪贴板,B,1
478,C,"在WORD的编辑状态打开了一个文档，对文档作了修改，进行""关闭""文档操作后(      )",文档被关闭，并自动保存修改后的内容,文档不能关闭，并提示出错,文档被关闭，修改后的内容不能保存,弹出对话框，并询问是否保存对文档的修改,D,1
479,C,在Word的菜单中，经常有一些命令选项是暗淡的，这表示(      ),这些命令在当前状态不起作用,系统运行故障,这些命令在当前状态下有特殊效果,应用程序本身有故障,A,0
480,C,中国电信、中国联通、中国移动等这些为普通用户提供Internet接入服务的公司被称为（     ）。,PSI ,URL,Internet Server,ISP,D,0
481,C,中国互联网络信息中心的英文缩写是（     ）。,CNNIC,Chinanic ,Cernic ,Internic,A,0
482,C,属于面向对象的程序设计语言（     ）。 ,C　　,FORTRAN ,Pascal　,Visual Basic ,D,0
483,C,字符串“IBM”中的字母B存放在计算机内占用的二进制位个数是（     ）。,8,4,2,1,A,1
484,C,最早出现的计算机网是(      )。,Internet,Bitnet,Arpanet,Ethernet,C,0
485,C,TCP/IP是（     ）。,传输控制/网络互连协议  ,开放系统互连参考模型,网络软件 ,网络操作系统,A,0
486,C,TCP的主要功能是（     ）。,进行数据分组,保证可靠传输,确定数据传输路径,提高传输速度,B,0
487,C,URL格式中，协议名与主机名间用（     ）符隔开。,/  ,//  ,＠  ,●,B,0
488,C,WEB上的信息是由什么语言来组织的（     ）。,C ,BASIC,JAVA  ,HTML ,D,0
489,C,"Windows 7的开始系统菜单内有一些项目, 其中不包括(      )命令。",设置,打开,运行,查找,B,0
490,C,Windows 中的“回收站”是(      )的一个区域。,内存中,硬盘上,软盘上,高速缓存中,B,0
491,C,Windows的目录结构采用的是（     ）。,树形结构,线形结构,层次结构,网状结构,A,0
492,C,Windows系统允许用户同时执行（     ）任务，并且能方便地在各任务之间切换以及交换信息。,1项 ,2项,8项   ,多项,D,0
493,C,Windows允许用户在桌面上放置（     ）主页、站点（频道），使你能够像挑选电视节目那样轻松、快捷地访问感兴趣的站点。,工作站    ,书写器,因特网  ,记事本,C,0
494,C,Windows中，当屏幕上有多个窗口时，那么活动窗口（     ）。,可以有多个窗口,只能是固定的窗口,是没有被其他窗口盖住的窗口,是有一个标题栏颜色与众不同的窗口,D,0
495,C,Windows中的“写字板”程序只能编辑(      )。　,.TXT文件,.TXT和 .DOC文件,任一种格式文件,多种格式文件,D,0
496,C,Windows中的文件名最长可达(      )个字符。,255,254,256,8,A,0
497,C,WINDOWS资源管理器中，反向选择若干文件的方法是（     ）。,CTRL+单击选定需要的文件,SHIFT+单击选定需要的文件，再单击反向选择,用鼠标直接单击选择,CTRL+单击选定不需要的文件，再单击编辑菜单中反向选择,D,1
498,C,Word 2003将一些常用命令用图标代替，集中在一起而形成工具栏。如果想在屏幕上显示或隐藏其他工具栏，应（     ）并在子菜单中进行选择便可。,"选择""视图""菜单 / 单击""全屏显示""","选择""视图""菜单 / 单击""工具栏""","选择""工具""菜单 / 单击""选项""","选择""工具""菜单 / 单击""自定义""",B,1
499,C,word 具有的功能是（     ）。,表格处理,绘制图形,自动更正,以上三项都是,D,0
500,C,Word 具有分栏功能，下列关于分栏的说法中正确的是    。,最多可以设4栏,各栏的宽度必须相同,各栏的宽度可以不同,各栏不同的间距是固定的,C,1
501,C,Word 2003 编辑状态， 下列可以设定打印纸张大小的命令是（     ）。,“文件”菜单中的“打印预览”命令 ,“文件”菜单中的“页面设置”命令,“视图”菜单中的“工具栏”命令,“视图”菜单中的“页面”命令,B,1
502,C,Word程序启动后就自动打开一个名为（     ）的文档。,Noname ,Untitled,文件1  ,文档1,D,0
503,C,Word 2003 程序允许打开多个文档，用（     ）菜单可以实现各文档窗口之间的切换。,编辑,窗口  ,视图 ,工具,B,0
504,C,word的查找，替换功能非常强大，下面的叙述中正确的是（     ）,不可以指查找文字的格式，只可以指定替换文字的格式,可以指定查找文字的格式，但不可以指定替换文字的格式,不可以按指定文字的格式进行查找及替换,可以按指定文字的格式进行查找及替换,D,1
505,C,Word 2003 文档的扩展名是（     ）。,.ppt ,.txt ,.xsl   ,.doc,D,0
506,C,Word中，如果用户错误的删除了文本，可用常用工具栏中的(      )按钮将被删除的文本恢复到屏幕上。,剪切,粘贴,撤消,恢复,C,1
507,C,Word 2003 中具有新建、打开、保存、打印等按钮的栏是（     ）。,常用工具栏,格式工具栏,绘图工具栏,菜单栏,A,0
508,C,Word中显示有页号、节号、页数、总页数等的是（     ） 。,常用工具栏 ,菜单栏,格式工具栏, 状态栏,D,0
509,C,Word 2003 主窗口水平滚动条的左侧有四个显示方式切换按钮：“普通视图”、“联机版式视图”、“页面视图”和（     ）。,大纲视图,主控文档,其他视图,全屏显示,A,0
510,C,www.cernet.edu.cn 的网址中，可以明确地看出是属于哪一类机构（     ）。,教育界,政府单位,法人组织,公司,A,0
511,C,www.sina.com.cn不是IP地址，而是(      ),上网密码,网站编号,域名,网站标题,C,0
512,C,WWW使用最普遍的是哪一种格式（     ）。,.HTML,.DOC ,.TXT,DBF,A,0
513,C,WWW是什么的缩写（     ）。,Wide Web World,World Web wide ,Wed World Wide ,World Wide Web,D,0
514,C,WWW是一种建立在Internet上的全球性的、交互的、动态、多平台、分布式的图形信息系统，它的最基本的概念是（     ）。,Hypertext ,Text,File  ,Multimedia,A,0
515,C,WWW是因特网最重要的一种服务，它基于的协议是（     ）。,HTTP,TCP／IP,FTP,Telnet,A,0
516,C,WWW提供的搜索引擎主要用来帮助用户（     ）。,在WWW上查找朋友的邮件地址,查找哪些朋友现在已经上网,查找自己的电子油箱是否有邮件 ,在Web上快捷地查找需要信息,D,1
517,C,WWW网是（     ）。  ,局域网的简称 ,城域网的简称 ,广域网的简称 ,万维网的简称   ,D,0
518,C,安装、连接计算机各个部件时应（     ）。,先洗手  ,切断电源,接通电源    ,通电预热,B,0
519,C,按（  　）键可以打开站点管理窗口“站点文件视图”。,F5,F8,ALT+F8,F10,B,0
520,C,按照网络分布和覆盖的地理范围，可将计算机网络分为（     ）。 ,局域网和互联网,广域网和局域网,广域网和互联网,Internet网和城域网,B,0
521,C,把内存中的数据传送到计算机的硬盘，称为（     ）。 ,显示,读盘 ,输入　,写盘 ,D,0
522,C,半导体只读存储器(ROM)与半导体随机存储器(RAM)的主要区别在于（     ）。 ,ROM可以永久保存信息，RAM在掉电后信息会丢失 ,ROM掉电后，信息会丢失，RAM则不会　　 , ROM是内存储器，RAM是外存储器　,RAM是内存储器，ROM是外存储器 ,A,1
523,C,保存Word文件的快捷键是（     ）。,Ctrl+V,Ctrl+X,Ctrl+S,Ctrl+O,C,0
524,C,病毒在感染计算机系统时，一般（     ）感染系统的。,病毒程序都会在屏幕上提示，待操作者确认（允许）后,是在操作者不觉察的情况下,病毒程序会要求操作者指定存储的磁盘和文件夹后,在操作者为病毒指定存储的文件名以后,B,1
525,C,拨号网络中需要Modem是因为(      ),可以拨号,可以实现语音通信,计算机不能接收模拟信号,接收和发送需要信号转换,D,1
526,C,（    ）不是微型计算机必须的工作环境。,恒温,良好的接地线路,远离强磁场,稳定的电源电压,A,0
527,C,不要频繁地开关计算机电源，主要是（     ）。,避免计算机的电源开关损坏  ,减少感生电压对器件的冲击,．减少计算机可能受到的震动 ,减少计算机的电能消耗,B,0
528,C,菜单是WINDOWS下的一种重要操作手段，要想执行下拉菜单中的某个操作，应(      ),通过键盘输入菜单中的该操作命令项的文字（如：“打开”、“复制”）,用鼠标单击下拉菜单中的该操作命令项,选择菜单中的该操作命令项，然后按键盘上任意一键,在窗口内任意一个空白位置单击鼠标键,B,1
529,C,操作系统的主要功能是（     ）。 ,实现软、硬件转换 , 管理系统所有的软、硬件资源 ,把源程序转换为目标程序 ,进行数据处理 ,B,0
530,C,操作系统是（     ）。,软件与硬件的接口,主机与外设的接口　, 计算机与用户的接口　,高级语言与机器语言的接口,C,0
531,C,操作系统是一种(      ),便于计算机操作的硬件,便与计算机操作的规范,管理计算机系统资源的软件,计算机系统,C,1
532,C,操作系统文件管理的主要功能是（     ）。 ,实现虚拟存储　　　,实现按文件内容存储　　 ,实现文件的高速输入输出　　,实现按文件名存取 ,D,0
533,C,常用于收发电子邮件的客户端程序为（     ）。,E-mail,Outlook Express ,BBS,Word,B,0
534,C,PowerPoint中的超级链接只有在下列哪种视图中才能被激活(      ),幻灯片视图,大纲视图,幻灯片浏览视图,幻灯片放映视图,D,0
535,C,从www.uste.edu.cn可以看出，它是中国的一个(      )的站点。,政府部门,军事部门,工商部门,教育部门,D,1
536,C,存储器容量的度量中，1MB准确等于(      )　　　,1024×1024bit,1000×1000bytes,1024×1000words,1024×1024bytes,D,0
537,C,存放重要资料的磁盘要（     ）。,加写保护,与磁铁放在一起,存放在冰箱冷冻,存放在烤箱中烘干,A,0
538,C,打开WINDOWS 中的“任务栏　属性”对话框的正确方法是(      ),将鼠标移至“任务栏”无按键处，击右键，出现快捷菜单，单击其中“属性”,将鼠标移至“任务栏”无按键处，击左键，出现快捷菜单，单击其中“属性”,双击“任务栏”无按键处,单击“任务栏”无按键处,A,1
539,C,打开WORD文档一般是指（     ）。,把文档的内容从内存中读入并在屏幕上显示出来 ,把文档的内容从磁盘上调入内存并在屏幕上显示出来,为指定的文档开设一个新的空白文档窗口,显示并打印指定的文档内容,B,1
540,C,单击Word的菜单栏中的某个菜单项，可以弹出对应的（     ）。,对话框  ,命令工具按钮,命令菜单   ,帮助信息,C,0
541,C,"单击WORD主窗口标题栏右边显示的""最小化""按钮后(      ) 。",WORD的窗口被关闭,WORD的窗口最小化为任务栏上一按钮,WORD的窗口关闭，变成窗口图标关闭按钮,被打开的文档窗口关闭,B,1
542,C,单击浏览器中工具栏上的“HOME”则（     ）。,直接连接微软的主页,直接连接Netscape的主页,用户定义的主页上,返回到上一次连接的主页,C,1
543,C,单击鼠标左键，一般用来（     ）。,打开文件   ,删除目标,选定目标,运行文件,C,0
544,C,单击粘贴命令，可以将（     ）粘贴到当前的插入点。,最新选定的文本、图片等,保存在“剪贴板”中的文本、图片,最近操作过的图片,保存在“回收站”中的内容,B,0
545,C,Excel的单元格键入数据或公式后，如果单击按钮“√”，则活动单元格会(      ),保持不变,向下移动一格,向上移动一格,向右移动一格,A,1
546,C,Excel的单元格键入数据或公式后，如果单击按钮“√”，则相当于按(      )键。,Del,Esc,Enter,Shift,C,1
547,C,当前，在计算机应用方面已进入以什么为特征的时代（     ）。 ,并行处理技术　,分布式系统　　,微型计算机　　,计算机网络 ,D,0
548,C,"Word的当前活动窗口是文档d1．doc的窗口，单击该窗口的""最小化""按扭后(      )",不显示d1．doc文档内容，但d1．doc文档并未关闭,该窗口和d1．doc文档都被关闭,d1．doc文档未关闭，且继续显示其内容,关闭了d1．doc文档但该窗口并未关闭,A,1
549,C,当前使用的IP地址是一个（     ） 的二进制地址。,8位  ,16位,32位,128位,C,0
550,C,当前世界上使用最多，覆盖面最大的网络，叫作（     ）。,Intranet,Internet,ARPANET ,MILNET,B,0
551,C,当一张幻灯片要建立超级链接时(      )说法是错误的。,可以链接到其他的幻灯片上,可以链接到本页幻灯片上,可以链接到其他演示文稿上,不可以链接到其他演示文稿上,D,0
552,C,当用户输入数据时，Excel应用程序窗口最下面的状态行显示(      ),输入,指针,编辑,检查拼写,A,1
553,C,第四媒体是指（     　 ）。,报纸媒体,网络媒体,电视媒体,广播媒体,B,0
554,C,第一台电子计算机是1946年在美国研制的，该机的英文缩写名是（     ）。 ,ENIAC　　,EDVAC ,EDSAC　, MARK-II ,A,0
555,C,电脑病毒的主要危害是（     ）。,损坏电脑的显示器,干扰电脑的正常运行,影响操作者的健康,使电脑长锈腐烂,B,0
556,C,电子计算机的内存储器一般由（     ）组成。,ROM和RAM     ,RAM和硬盘,CPU和ROM ,CD-ROM与ROM,A,0
